# row pwm ai mean
1 0 596 596.003
2 0 596 596.000
3 0 596 595.995
4 0 596 595.986
5 0 596 595.961
6 0 596 595.889
7 0 595 595.535
8 0 595 595.245
9 0 595 595.084
10 0 595 595.044
11 5 594 592.889
12 5 593 592.934
13 5 594 592.903
14 5 593 592.829
15 5 594 592.805
16 5 594 592.779
17 5 594 592.747
18 5 593 592.750
19 5 594 592.738
20 5 588 592.748
21 10 593 590.235
22 10 593 590.235
23 10 587 590.243
24 10 591 590.218
25 10 592 590.209
26 10 593 590.177
27 10 592 590.162
28 10 593 590.135
29 10 593 590.138
30 10 586 590.099
31 15 592 587.496
32 15 592 587.506
33 15 584 587.502
34 15 591 587.511
35 15 591 587.527
36 15 592 587.458
37 15 583 587.500
38 15 589 587.471
39 15 591 587.506
40 15 592 587.447
41 20 588 584.883
42 20 590 584.840
43 20 591 584.820
44 20 555 584.806
45 20 580 584.851
46 20 589 584.824
47 20 591 584.795
48 20 591 584.822
49 20 564 584.792
50 20 587 584.895
51 25 581 582.068
52 25 580 582.053
53 25 586 582.121
54 25 588 582.133
55 25 590 582.098
56 25 563 582.130
57 25 583 582.175
58 25 587 582.095
59 25 589 582.018
60 25 590 581.993
61 30 588 579.279
62 30 579 579.310
63 30 573 579.204
64 30 567 579.290
65 30 585 579.157
66 30 587 579.282
67 30 583 579.244
68 30 556 579.124
69 30 581 579.261
70 30 553 579.062
71 35 578 576.383
72 35 587 576.342
73 35 564 576.330
74 35 578 576.288
75 35 585 576.365
76 35 587 576.284
77 35 588 576.251
78 35 572 576.414
79 35 582 576.354
80 35 584 576.210
81 40 580 573.402
82 40 586 573.228
83 40 542 573.353
84 40 587 573.302
85 40 536 573.219
86 40 585 573.244
87 40 583 573.239
88 40 569 573.252
89 40 580 573.337
90 40 584 573.283
91 45 579 570.220
92 45 579 570.250
93 45 584 570.223
94 45 565 570.079
95 45 541 570.239
96 45 571 570.202
97 45 580 570.224
98 45 585 570.150
99 45 567 569.986
100 45 549 570.270
101 50 519 566.911
102 50 580 567.102
103 50 568 566.929
104 50 579 567.093
105 50 581 566.969
106 50 575 567.032
107 50 579 566.952
108 50 573 567.093
109 50 580 567.035
110 50 580 567.147
111 55 577 563.731
112 55 581 563.675
113 55 583 563.616
114 55 584 563.753
115 55 581 563.643
116 55 542 563.511
117 55 548 563.715
118 55 572 563.819
119 55 575 563.835
120 55 567 563.713
121 60 552 560.465
122 60 513 560.384
123 60 581 560.427
124 60 575 560.363
125 60 562 560.493
126 60 576 560.299
127 60 581 560.384
128 60 536 560.049
129 60 515 560.510
130 60 560 560.692
131 65 521 556.939
132 65 548 557.034
133 65 570 557.058
134 65 577 556.712
135 65 581 556.758
136 65 515 556.871
137 65 581 556.851
138 65 519 556.905
139 65 556 556.824
140 65 566 556.808
141 70 577 553.321
142 70 574 553.215
143 70 543 553.023
144 70 578 553.160
145 70 534 553.024
146 70 571 553.655
147 70 580 552.964
148 70 500 553.459
149 70 546 553.420
150 70 571 553.325
151 75 562 549.563
152 75 577 549.656
153 75 516 549.302
154 75 576 549.596
155 75 526 549.351
156 75 488 549.631
157 75 562 549.664
158 75 575 549.603
159 75 579 549.301
160 75 572 549.511
161 80 524 545.650
162 80 551 545.795
163 80 495 546.016
164 80 557 545.964
165 80 569 545.904
166 80 576 545.395
